Class Name,Source,Target
au.com.cgu.drex.web.renderer.topbuttons.TopButtonsRendererTest,13,0
au.com.cgu.cudosui.sample.clean.model.ui.policy.structure.common.coveroptions.VariableQuestionExtension,4,19
au.com.cgu.cudos.offeringmanager.model.offering.workflowmapoffering.workflowmap.WorkflowMapDescriptor,1,15
au.com.cgu.cudosui.sample.clean.model.ui.policy.batch.BatchType,0,22
au.com.cgu.cudosui.sample.clean.web.ui.flow.initialisation.policy.operation.channel.sunrise.callback.transaction.create.SunriseOfferingSelectionInitialValuesCreator,12,0
au.com.cgu.cudosui.sample.clean.web.ui.flow.main.interaction.toppanel.interestedparties.InterestedPartiesController,13,0
au.com.cgu.cudosui.sample.clean.service.ui.flow.main.interaction.toppanel.referrals.interaction.handler.flow.synchroniser.nondrex.premiumsummary.PremiumSummaryReferralLocationCreator,22,0
au.com.cgu.cudosui.sample.clean.web.ui.flow.main.nongui.cee.operation.transaction.submitter.resume.ResumeAndSaveInterimCoverHandler,20,0
au.com.cgu.cudosui.sample.clean.web.ui.policy.bne.renewal.review.RenewalReviewValidator,18,0
au.com.cgu.cudosui.sample.clean.service.ui.flow.mapper.drexpolicy.drex.to.policy.overriding.operation.OverridenPolicyMappingResolver,16,5
au.com.cgu.cudosui.sample.clean.service.ui.flow.mapper.drexpolicy.drex.to.policy.WorkflowMapToPolicyMapperTest,21,0
au.com.cgu.drex.model.workflow.expression.AbstractOperandResolver,3,15
au.com.cgu.drex.model.workflow.fixtures.WorkflowItemTestDataCreator,16,14
au.com.cgu.drex.web.AbstractInteractionController,13,6
au.com.cgu.cudosui.sample.clean.web.ui.flow.system.nongui.cee.operation.actions.suspend.SuspendRenewalLapseHandler,15,0
au.com.cgu.cudosui.sample.clean.service.ui.flow.answerprocessor.common.BoundaryPredicateGetter,8,11
au.com.cgu.cudosui.sample.clean.web.ui.flow.main.interaction.staffpanel.tasks.TasksMapPopulatorTest,15,0
au.com.cgu.cudosui.sample.clean.web.ui.policy.bne.lapse.handler.LapseInterimCoverHandler,18,1
au.com.cgu.cudosui.sample.clean.service.ui.flow.mapper.drexpolicy.policy.to.drex.answerloader.clones.ClonedWorkflowCalculator,12,1
au.com.cgu.cudosui.sample.clean.web.ui.flow.main.interaction.staffpanel.correspondence.composewizard.sender.InterviewRequestGetter,19,0
au.com.cgu.drex.web.renderer.main.ErrorMessageRendererTest,24,0
