Project Name,Package Name,Package Depth,Line Length,Pachage Files

capella/capella-dev-kit-maven-plugin/src/main/java


capella/dev-kit/src/main/java


capella/libs/components/interaction/navigation/primary-secondary/src/main/java


capella/libs/freemarker/template-processor/src/main/java


capella-useful/capella-dev-kit-maven-plugin/src/main/java


capella-useful/dev-kit/src/main/java


capella-useful/libs/components/interaction/navigation/primary-secondary/src/main/java


capella-useful/libs/freemarker/template-processor/src/main/java


cgu-wimp/wimp/src/main/java

,au/com/cgu/wimp/webservice/dozer/custom,6,68,0

cgu-wimp/wimp-manager/src/main/java

,au/com/cgu/wimp/integration/query/character,6,80,0

cudos/chdef-to-db-persister/src/main/java

,au/com/cgu/cudos/spike/webapps/web,6,77,0

cudos/cudos-bne/bne-daemon/src/main/java

,au/com/cgu/cudos/businessnotification/daemon/scheduler,6,96,0

cudos/cudos-bne/bne-manager/src/main/java

,au/com/cgu/cudos/businessnotification/manager/model,6,94,0
,au/com/cgu/cudos/businessnotification/manager/service/request,7,104,0
,au/com/cgu/cudos/businessnotification/manager/stax,6,93,0
,au/com/cgu/cudos/businessnotification/manager/stax/parser,7,100,0
,au/com/cgu/cudos/businessnotification/manager/stax/parser/populators,8,111,0

cudos/cudos-config-tool/cudos-config-tool-ui/src/main/java

,au/com/cgu/cudos/configtool/integration/navigation,6,110,0
,au/com/cgu/cudos/configtool/model/configuration,6,107,0
,au/com/cgu/cudos/configtool/model/offerings,6,103,0
,au/com/cgu/cudos/configtool/model/offerings/workflowmap,7,115,0
,au/com/cgu/cudos/configtool/service/configuration,6,109,0
,au/com/cgu/cudos/configtool/service/offerings,6,105,0
,au/com/cgu/cudos/configtool/service/offerings/product,7,113,0
,au/com/cgu/cudos/configtool/service/offerings/product/structure,8,123,0
,au/com/cgu/cudos/configtool/web/offerings,6,101,0
,au/com/cgu/cudos/configtool/web/offerings/external,7,110,0
,au/com/cgu/cudos/configtool/web/offerings/hierarchy,7,111,0
,au/com/cgu/cudos/configtool/web/offerings/product,7,109,0
,au/com/cgu/cudos/configtool/web/spring,6,98,0
,au/com/cgu/cudos/configtool/web/spring/web,7,102,0
,au/com/cgu/cudos/configtool/web/spring/web/servlet,8,110,0
,au/com/cgu/cudos/configtool/web/spring/web/servlet/view,9,115,0
,au/com/cgu/cudos/configtool/web/spring/web/servlet/view/json,10,120,0

cudos/cudos-cx-conf-data-mgr/src/main/java

,au/com/cgu/cudos/cxconfdata/integration/authority,6,93,0
,au/com/cgu/cudos/cxconfdata/model/authority,6,87,0
,au/com/cgu/cudos/cxconfdata/model/common,6,84,0
,au/com/cgu/cudos/cxconfdata/service/authority,6,89,0

cudos/cudos-drex-extensions/src/main/java

,au/com/cgu/cudos/drexextensions/integration/ui,6,89,0
,au/com/cgu/cudos/drexextensions/integration/ui/flow,7,94,0
,au/com/cgu/cudos/drexextensions/integration/ui/flow/common,8,101,0
,au/com/cgu/cudos/drexextensions/integration/ui/flow/common/item,9,106,0
,au/com/cgu/cudos/drexextensions/integration/ui/flow/common/item/custom,10,113,0
,au/com/cgu/cudos/drexextensions/integration/ui/flow/common/item/custom/address,11,121,0
,au/com/cgu/cudos/drexextensions/integration/ui/flow/common/item/custom/address/harmony24,12,131,0
,au/com/cgu/cudos/drexextensions/integration/ui/flow/common/item/custom/addressItem2,11,126,0
,au/com/cgu/cudos/drexextensions/integration/ui/flow/common/item/custom/addressItem2/harmony24,12,136,0
,au/com/cgu/cudos/drexextensions/integration/ui/flow/common/question,9,110,0
,au/com/cgu/cudos/drexextensions/integration/ui/flow/common/question/comment,10,118,0
,au/com/cgu/cudos/drexextensions/integration/ui/flow/common/question/custom,10,117,0
