Call Tree,Time (ms),Own Time (ms),Level
<All threads>,857027,,1
java.lang.Thread.run(),702324,654547,2
ApplicationFilterChain.java:241 au.com.cgu.drex.web.filter.UUIDFilter.doFilter(ServletRequest:ServletResponse:FilterChain),26593,0,3
UUIDFilter.java:34 org.apache.catalina.core.ApplicationFilterChain.doFilter(ServletRequest:ServletResponse),26593,0,4
ApplicationFilterChain.java:241 au.com.cgu.cudosui.sample.clean.web.common.filter.UnhandledExceptionFilter.doFilter(ServletRequest:ServletResponse:FilterChain),26593,0,5
UnhandledExceptionFilter.java:36 org.apache.catalina.core.ApplicationFilterChain.doFilter(ServletRequest:ServletResponse),26593,0,6
ApplicationFilterChain.java:241 au.com.cgu.cudosui.sample.clean.web.common.filter.CxWindowIdFilter.doFilter(ServletRequest:ServletResponse:FilterChain),26593,0,7
CxWindowIdFilter.java:56 org.apache.catalina.core.ApplicationFilterChain.doFilter(ServletRequest:ServletResponse),26593,15,8
OncePerRequestFilter.java:76 au.com.cgu.cudos.web.filter.monitoring.PerformanceMonitorLoggingServletFilter.doFilterInternal(HttpServletRequest:HttpServletResponse:FilterChain),26578,0,9
PerformanceMonitorLoggingServletFilter.java:61 org.apache.catalina.core.ApplicationFilterChain.doFilter(ServletRequest:ServletResponse),26390,0,10
ApplicationFilterChain.java:241 au.com.cgu.cudosui.sample.clean.web.common.filter.NoCacheFilter.doFilter(ServletRequest:ServletResponse:FilterChain),26390,0,11
NoCacheFilter.java:39 org.apache.catalina.core.ApplicationFilterChain.doFilter(ServletRequest:ServletResponse),26390,0,12
ApplicationFilterChain.java:241 au.com.cgu.cudosui.sample.clean.web.headless.SessionInvalidationFilter.doFilter(ServletRequest:ServletResponse:FilterChain),26390,0,13
SessionInvalidationFilter.java:29 org.apache.catalina.core.ApplicationFilterChain.doFilter(ServletRequest:ServletResponse),26390,62,14
ApplicationFilterChain.java:241 org.tuckey.web.filters.urlrewrite.UrlRewriteFilter.doFilter(ServletRequest:ServletResponse:FilterChain),25657,0,15
UrlRewriteFilter.java:417 org.tuckey.web.filters.urlrewrite.UrlRewriter.processRequest(HttpServletRequest:HttpServletResponse:FilterChain),25657,0,16
UrlRewriter.java:90 org.tuckey.web.filters.urlrewrite.RuleChain.doRules(ServletRequest:ServletResponse),25657,0,17
